N	S	F
724	16063.000000	1991.938503
715	12023.000000	1953.157188
681	9289.000000	1910.068323
668	7608.000000	1872.379769
613	6731.000000	1850.181883
620	6018.000000	1839.663013
664	5335.000000	1838.658478
616	4796.000000	1835.005177
667	4700.000000	1823.102301
595	4969.000000	1811.379309
587	5365.000000	1805.156226
634	5520.000000	1800.786495
604	4772.000000	1797.548887
608	2817.000000	1791.905969
590	-129.000000	1791.773702
618	-3314.000000	1805.944628
672	-5993.000000	1820.343649
700	-7011.000000	1828.985785
636	-5984.000000	1823.435220
638	-3075.000000	1806.610362
615	721.000000	1793.859805
572	4846.000000	1785.460725
644	7446.000000	1781.611069
501	8039.000000	1780.428319
626	6801.000000	1782.771718
605	4444.000000	1790.279866
627	1009.000000	1810.890665
606	-1587.000000	1826.945812
713	-2802.000000	1830.821127
672	-3145.000000	1822.742714
577	-2717.000000	1812.102922
634	-1363.000000	1813.082182
628	-77.000000	1827.851471
688	562.000000	1844.016269
643	1371.000000	1847.767031
658	1950.000000	1846.070421
606	2054.000000	1844.772073
665	1646.000000	1851.427557
665	1178.000000	1854.901615
697	67.000000	1856.133347
604	-1144.000000	1862.751728
671	-1936.000000	1877.898293
740	-1883.000000	1896.454323
712	-1098.000000	1904.279391
704	112.000000	1894.779143
617	1302.000000	1881.429775
672	1730.000000	1878.403045
699	1070.000000	1890.076718
689	-985.000000	1910.080365
698	-3269.000000	1921.279522
762	-5425.000000	1921.940946
710	-6493.000000	1916.916013
730	-6205.000000	1915.527343
674	-4018.000000	1914.852997
764	-1083.000000	1914.619806
660	2264.000000	1906.276475
699	4850.000000	1891.915432
621	6230.000000	1882.063230
637	6027.000000	1882.229263
731	4763.000000	1893.304783
654	2772.000000	1911.261364
723	894.000000	1922.244001
720	-387.000000	1922.361829
708	-1068.000000	1914.971540
715	-1173.000000	1905.102359
658	-1000.000000	1908.814816
700	-461.000000	1925.224403
762	179.000000	1944.808217
732	1092.000000	1955.677888
742	1902.000000	1950.064614
679	2804.000000	1940.361307
716	2781.000000	1939.268161
709	1923.000000	1949.759216
753	59.000000	1968.213149
751	-2172.000000	1980.033333
793	-4922.000000	1987.450628
727	-6676.000000	1989.274240
838	-7381.000000	1988.531368
749	-6722.000000	1988.137319
766	-4938.000000	1987.472264
769	-1770.000000	1983.395573
754	1515.000000	1979.946211
724	4719.000000	1975.118984
722	7268.000000	1969.853294
725	8686.000000	1968.043699
708	8698.000000	1971.864600
731	7685.000000	1979.943686
755	5743.000000	1992.052961
751	3527.000000	2007.465317
